account_id,account_name,industry,country,signup_date,referral_source,plan_tier_x,seats_x,is_trial_x,churn_flag_x,subscription_id,start_date,end_date,plan_tier_y,seats_y,mrr_amount,arr_amount,is_trial_y,upgrade_flag,downgrade_flag,churn_flag_y,billing_frequency,auto_renew_flag,total_usage_count,total_usage_seconds,total_errors,total_tickets,avg_resolution_time,avg_csat,churn_date,reason_code
A-2e4581,Company_0,EdTech,US,10/16/2024,partner,Basic,9,FALSE,FALSE,S-faa8ec,12/09/2024,,Basic,11,209,2508,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,42,12313,0,2,23,3,11/23/2024,budget
A-2e4581,Company_0,EdTech,US,10/16/2024,partner,Basic,9,FALSE,FALSE,S-faa8ec,12/09/2024,,Basic,11,209,2508,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,42,12313,0,2,23,3,12/05/2024,competitor
A-2e4581,Company_0,EdTech,US,10/16/2024,partner,Basic,9,FALSE,FALSE,S-b78829,11/12/2024,,Pro,20,980,11760,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,46,13363,4,2,23,3,11/23/2024,budget
A-2e4581,Company_0,EdTech,US,10/16/2024,partner,Basic,9,FALSE,FALSE,S-b78829,11/12/2024,,Pro,20,980,11760,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,46,13363,4,2,23,3,12/05/2024,competitor
A-2e4581,Company_0,EdTech,US,10/16/2024,partner,Basic,9,FALSE,FALSE,S-7ce677,10/20/2024,,Pro,9,441,5292,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,44,9964,5,2,23,3,11/23/2024,budget
A-2e4581,Company_0,EdTech,US,10/16/2024,partner,Basic,9,FALSE,FALSE,S-7ce677,10/20/2024,,Pro,9,441,5292,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,44,9964,5,2,23,3,12/05/2024,competitor
A-2e4581,Company_0,EdTech,US,10/16/2024,partner,Basic,9,FALSE,FALSE,S-34a131,11/29/2024,,Enterprise,9,1791,21492,FALSE,FALSE,FALSE,FALSE,annual,FALSE,41,12772,6,2,23,3,11/23/2024,budget
A-2e4581,Company_0,EdTech,US,10/16/2024,partner,Basic,9,FALSE,FALSE,S-34a131,11/29/2024,,Enterprise,9,1791,21492,FALSE,FALSE,FALSE,FALSE,annual,FALSE,41,12772,6,2,23,3,12/05/2024,competitor
A-2e4581,Company_0,EdTech,US,10/16/2024,partner,Basic,9,FALSE,FALSE,S-1e349b,11/13/2024,,Basic,102,1938,23256,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,66,23501,0,2,23,3,11/23/2024,budget
A-2e4581,Company_0,EdTech,US,10/16/2024,partner,Basic,9,FALSE,FALSE,S-1e349b,11/13/2024,,Basic,102,1938,23256,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,66,23501,0,2,23,3,12/05/2024,competitor
